Time,Percent,Speed,Error,Target
48639,0.0,0.0,0.0,-28.125
48659,0.0,0.0,0.0,28.125
48660,0.0,0.0,0.0,-28.125
48679,0.0,0.0,0.0,28.125
48681,0.0,0.0,0.0,-28.125
48698,0.0,0.0,0.0,-283.46456587314606
48704,0.0,0.0,0.0,283.46456587314606
48718,0.0,0.0,0.0,-793.700784444809
48720,0.0,0.0,0.0,793.700784444809
48738,-4.105571847507331,0.0,0.0,-2012.5983238220215
48740,4.105571847507331,0.0,0.0,2012.5983238220215
48758,-30.205278592375368,0.0,0.0,-3061.4173650741577
48759,30.205278592375368,0.0,0.0,3061.4173650741577
48778,-71.65200391006843,-64.0,-2501.0,-3600.0
48780,71.65200391006843,49.0,0.0,3600.0
48798,-71.65200391006843,-251.0,-2501.0,-3600.0
48800,99.90224828934507,239.0,2524.0,3600.0
48818,-99.90224828934507,-563.0,-2501.0,-3600.0
48819,99.90224828934507,564.0,2524.0,3600.0
48838,-99.90224828934507,-973.0,-2501.0,-3600.0
48840,99.90224828934507,1001.0,2524.0,3600.0
48858,-99.90224828934507,-1501.0,-2501.0,-3600.0
48860,99.90224828934507,1528.0,2524.0,3600.0
48878,-99.90224828934507,-2011.0,-2501.0,-3600.0
48880,99.90224828934507,2055.0,2524.0,3600.0
48898,-99.90224828934507,-2436.0,-2501.0,-3600.0
48903,99.90224828934507,2055.0,2524.0,3600.0
48918,-99.90224828934507,-2436.0,-2501.0,-3600.0
48920,99.90224828934507,2497.0,2524.0,3600.0
48938,-99.90224828934507,-2808.0,-2501.0,-3600.0
48940,99.90224828934507,2914.0,2524.0,3600.0
48958,-99.90224828934507,-3096.0,-482.0,-3600.0
48962,99.90224828934507,3198.0,414.0,3600.0
48978,-99.90224828934507,-3200.0,-482.0,-3600.0
48979,99.90224828934507,3369.0,414.0,3600.0
48998,-99.90224828934507,-3268.0,-482.0,-3600.0
49000,99.90224828934507,3461.0,414.0,3600.0
49018,-99.90224828934507,-3315.0,-482.0,-3600.0
49020,99.90224828934507,3519.0,414.0,3600.0
49038,-99.90224828934507,-3301.0,-482.0,-3600.0
49040,99.90224828934507,3474.0,414.0,3600.0
49058,-99.90224828934507,-3263.0,-482.0,-3600.0
49059,99.90224828934507,3455.0,414.0,3600.0
49078,-99.90224828934507,-3293.0,-482.0,-3600.0
49080,99.90224828934507,3455.0,414.0,3600.0
49098,-99.90224828934507,-3327.0,-482.0,-3600.0
49102,99.90224828934507,3474.0,414.0,3600.0
49118,-99.90224828934507,-3339.0,-259.0,-2551.181173324585
49120,99.90224828934507,3495.0,96.0,2551.181173324585
49138,-99.90224828934507,-3358.0,-259.0,-2551.181173324585
49139,49.266862170087975,3516.0,96.0,2551.181173324585
49158,-49.266862170087975,-3372.0,-259.0,-1644.094455242157
49161,49.266862170087975,3492.0,96.0,1644.094455242157
49179,-49.266862170087975,-3345.0,-259.0,-198.42519611120224
49181,19.745845552297165,3441.0,96.0,198.42519611120224
49198,-19.745845552297165,-3218.0,-259.0,28.125
49200,0.0,3242.0,96.0,-28.125
49218,0.0,-2952.0,-259.0,28.125
49220,0.0,2871.0,96.0,-28.125
49238,0.0,-2497.0,-259.0,28.125
49240,0.0,2338.0,96.0,-28.125
49258,0.0,-1934.0,-259.0,28.125
49260,0.0,1734.0,96.0,-28.125
49278,0.0,-1341.0,1341.0,28.125
49280,0.0,1117.0,-1117.0,-28.125
49298,0.0,-833.0,1341.0,28.125
49301,0.0,637.0,-1117.0,-28.125
49318,0.0,-438.0,1341.0,28.125
49320,0.0,300.0,-1117.0,-28.125
49338,0.0,-205.0,1341.0,28.125
49340,0.0,130.0,-1117.0,-28.125
49358,0.0,-88.0,1341.0,28.125
49360,0.0,50.0,-1117.0,-28.125
49378,0.0,-31.0,1341.0,28.125
49380,0.0,13.0,-1117.0,-28.125
49399,0.0,-7.0,1341.0,28.125
49401,0.0,0.0,-1117.0,-28.125
49418,0.0,-1.0,1341.0,28.125
49420,0.0,0.0,-1117.0,-28.125
49438,0.0,0.0,0.0,28.125
49440,0.0,0.0,0.0,-28.125
49458,0.0,0.0,0.0,28.125
